StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
1,Male,24,37,90.75,3.47,Arts,Yes,No
2,Female,22,37,74.9,2.32,Education,No,No
3,Male,22,10,53.36,2.38,Business,No,No
4,Male,24,10,70.26,3.46,Science,Yes,No
5,Male,18,19,74.87,2.31,Education,Yes,No
6,Female,20,17,86.01,2.47,Business,Yes,No
7,Male,19,21,55.33,3.93,Arts,No,No
8,Male,18,14,57.0,2.51,Education,No,No
9,Male,19,9,63.18,3.32,Business,No,No
10,Female,24,1,63.32,3.96,Engineering,Yes,Yes
11,Male,23,13,86.61,2.75,Engineering,Yes,No
12,Male,19,4,62.54,2.04,Science,No,Yes
13,Male,20,1,81.65,2.49,Business,No,No
14,Male,23,32,74.71,3.66,Engineering,Yes,No
15,Female,19,34,78.66,3.73,Arts,Yes,Yes
16,Male,24,28,91.91,3.54,Business,Yes,No
17,Female,23,31,70.22,2.23,Arts,Yes,Yes
18,Female,24,8,88.55,3.59,Arts,No,Yes
19,Female,19,39,71.1,3.84,Engineering,Yes,Yes
20,Male,24,26,67.69,3.2,Business,Yes,No
21,Female,20,34,97.93,3.88,Education,Yes,No
22,Male,19,3,59.22,3.65,Engineering,No,No
23,Female,19,12,54.52,3.33,Engineering,No,Yes
24,Female,19,1,88.55,3.15,Business,Yes,Yes
25,Female,18,5,53.41,2.7,Business,Yes,No
26,Female,18,30,91.85,2.32,Arts,Yes,No
27,Female,18,30,71.86,3.21,Business,No,No
28,Female,20,17,95.78,2.64,Arts,No,No
29,Female,23,23,86.08,3.73,Engineering,No,No
30,Female,24,15,80.52,3.99,Science,Yes,Yes
31,Male,22,37,97.47,3.5,Education,No,Yes
32,Male,19,21,69.83,2.18,Engineering,Yes,Yes
33,Female,24,14,97.7,2.58,Business,Yes,No
34,Female,19,2,56.75,2.22,Education,Yes,Yes
35,Female,20,11,74.19,3.3,Science,No,Yes
36,Male,19,39,63.5,3.53,Science,Yes,Yes
37,Female,18,38,76.99,3.85,Arts,No,Yes
38,Male,22,34,58.1,2.88,Education,No,Yes
39,Male,21,38,92.08,3.8,Arts,Yes,No
40,Male,19,34,92.32,3.76,Engineering,Yes,Yes
41,Male,24,18,97.76,2.63,Education,No,No
42,Male,18,30,57.73,3.74,Engineering,Yes,No
43,Female,21,15,81.17,2.75,Arts,No,No
44,Female,22,27,73.71,2.59,Education,Yes,No
45,Female,21,34,67.22,3.3,Arts,No,No
46,Female,18,38,67.58,2.66,Education,No,Yes
47,Female,23,33,70.64,3.26,Arts,No,Yes
48,Male,23,24,85.25,3.22,Science,No,No
49,Female,21,15,79.91,3.13,Arts,Yes,No
50,Female,20,30,72.98,2.76,Science,Yes,No
51,Male,24,17,53.8,3.1,Arts,No,Yes
52,Female,24,5,53.89,3.19,Education,No,No
53,Male,21,29,50.12,3.09,Education,Yes,Yes
54,Female,19,4,98.38,2.89,Education,Yes,No
55,Male,19,10,50.26,2.03,Business,Yes,Yes
56,Female,24,17,55.15,3.17,Engineering,Yes,No
57,Female,24,10,65.73,2.34,Education,Yes,Yes
58,Male,23,17,90.37,3.29,Science,Yes,No
59,Male,20,20,98.1,3.52,Education,No,Yes
60,Male,18,24,89.5,3.0,Business,Yes,Yes
61,Male,19,5,84.53,3.08,Science,Yes,Yes
62,Male,24,34,76.07,3.9,Business,No,Yes
63,Male,23,6,54.34,3.69,Science,Yes,Yes
64,Male,22,2,97.91,3.83,Arts,Yes,Yes
65,Male,23,13,87.92,3.63,Engineering,Yes,Yes
66,Female,19,11,81.95,2.22,Engineering,Yes,No
67,Female,19,23,87.95,2.3,Business,Yes,No
68,Male,23,16,86.21,3.05,Engineering,No,No
69,Female,18,31,81.86,2.49,Business,Yes,No
70,Female,21,11,99.03,2.95,Business,No,No
71,Female,19,16,95.17,2.79,Business,No,Yes
72,Female,23,8,82.33,3.1,Engineering,Yes,Yes
73,Male,24,4,84.66,3.49,Business,No,Yes
74,Female,23,4,52.58,3.43,Engineering,Yes,Yes
75,Male,20,25,83.5,3.04,Business,No,Yes
76,Female,21,3,52.21,3.64,Education,No,No
77,Female,22,32,79.41,2.86,Business,Yes,No
78,Female,18,3,99.97,3.79,Science,Yes,No
79,Male,22,27,77.79,2.14,Business,Yes,No
80,Female,21,29,73.66,3.91,Arts,Yes,Yes
81,Male,21,32,65.64,3.31,Business,Yes,Yes
82,Female,21,19,56.03,2.76,Science,No,Yes
83,Male,22,21,86.55,2.39,Science,No,No
84,Female,24,5,59.63,2.96,Engineering,No,Yes
85,Male,21,18,55.76,2.39,Education,No,No
86,Male,23,28,71.09,2.33,Business,No,Yes
87,Female,22,22,89.77,3.23,Engineering,No,Yes
88,Male,21,21,87.25,3.05,Education,No,No
89,Female,23,6,52.74,3.34,Business,Yes,Yes
90,Female,24,1,72.76,3.86,Arts,Yes,Yes
91,Female,20,5,76.12,3.06,Business,No,No
92,Female,24,12,82.23,3.16,Science,No,Yes
93,Female,21,26,82.51,2.18,Science,Yes,No
94,Female,22,34,68.23,3.44,Arts,Yes,Yes
95,Female,19,14,78.03,2.8,Engineering,Yes,Yes
96,Female,21,26,74.05,3.95,Education,Yes,Yes
97,Female,19,27,94.25,3.65,Business,No,Yes
98,Female,23,9,76.51,3.04,Science,Yes,Yes
99,Female,20,26,72.05,2.25,Engineering,No,Yes
